300294.SZ  博雅生物 生物制药  540 8year 当前价格：31.40 估计价格：58.00
000028.SZ  国药一致 医药商业  540 27year 当前价格：40.05 估计价格：78.23
002597.SZ  金禾实业 化工原料  540 9year 当前价格：19.66 估计价格：46.70
300124.SZ  汇川技术 电器仪表  540 10year 当前价格：29.77 估计价格：29.51
600153.SH  建发股份 商贸代理  540 22year 当前价格：7.94 估计价格：26.04
300244.SZ  迪安诊断 医疗保健  540 9year 当前价格：26.29 估计价格：29.97
601186.SH  中国铁建 建筑工程  540 12year 当前价格：9.72 估计价格：16.15
002866.SZ  传艺科技 IT设备  540 3year 当前价格：11.61 估计价格：17.73
002050.SZ  三花智控 机械基件  540 15year 当前价格：17.22 估计价格：11.66
603040.SH  新坐标 机械基件  540 3year 当前价格：27.37 估计价格：34.05
603466.SH  风语筑 文教休闲  540 3year 当前价格：14.59 估计价格：111.06
600409.SH  三友化工 化工原料  530 17year 当前价格：5.00 估计价格：90.56
603035.SH  常熟汽饰 汽车配件  530 3year 当前价格：11.35 估计价格：14.85
603883.SH  老百姓 医药商业  530 5year 当前价格：81.65 估计价格：44.19
300365.SZ  恒华科技 软件服务  530 6year 当前价格：11.66 估计价格：39.54
002837.SZ  英维克 专用机械  530 4year 当前价格：43.32 估计价格：75.23
002882.SZ  金龙羽 电气设备  530 3year 当前价格：11.00 估计价格：17.89
300427.SZ  红相股份 电气设备  530 5year 当前价格：18.32 估计价格：20.61
002440.SZ  闰土股份 染料涂料  530 10year 当前价格：9.49 估计价格：19.73
601689.SH  拓普集团 汽车配件  520 5year 当前价格：20.38 估计价格：17.81
603086.SH  先达股份 农药化肥  520 3year 当前价格：20.10 估计价格：72.28
600323.SH  瀚蓝环境 水务  520 20year 当前价格：20.44 估计价格：36.51
002595.SZ  豪迈科技 专用机械  520 9year 当前价格：16.94 估计价格：20.41
300070.SZ  碧水源 环境保护  520 10year 当前价格：9.73 估计价格：17.23
002078.SZ  太阳纸业 造纸  520 14year 当前价格：8.78 估计价格：13.88
300017.SZ  网宿科技 电信运营  520 11year 当前价格：8.84 估计价格：22.73
601012.SH  隆基股份 半导体  510 8year 当前价格：25.79 估计价格：54.14
603108.SH  润达医疗 医药商业  510 5year 当前价格：10.89 估计价格：14.58
002635.SZ  安洁科技 IT设备  510 9year 当前价格：18.22 估计价格：33.03
002706.SZ  良信电器 电气设备  510 6year 当前价格：13.58 估计价格：20.60
300207.SZ  欣旺达 元器件  510 9year 当前价格：14.06 估计价格：30.74
